Количество случайных точек; количество процессов; ответ (правильный: 2.666666666666666); время работы (сек)
1) 10_000; 1; 2.7133049477385573; 1.1753745079040527
2) 10_000; 2; 2.654277126438343; 1.4239232540130615
3) 10_000; 4; 2.666517195975044; 0.8618321418762207
4) 10_000; 8; 2.6502928862358264; 1.1474456787109375
5) 100_000; 1; 2.6572740824994208; 4.494147062301636
6) 100_000; 2; 2.663330104399661; 1.7261652946472168
7) 100_000; 4; 2.66706334606984; 1.4491560459136963
8) 100_000; 8; 2.6622406659929534; 2.3116531372070312
9) 1_000_000; 1; 2.6676597339071413; 27.91035223007202
10) 1_000_000; 2; 2.668130911294546; 14.541740417480469
11) 1_000_000; 4; 2.6674310166850126; 10.322107315063477
12) 1_000_000; 8; 2.6685315146173054; 9.507083177566528
13) (бонусный) 10_000_000; 8; 2.6667935036930857; 99.96802878379822
